Year,Spring temperature,Summer temperature,Mean,Location
1884,8.1,15.72,11.91,SouthEngland
1885,7.03,14.85,10.94,SouthEngland
1886,7.46,15.18,11.32,SouthEngland
1887,6.49,16.21,11.35,SouthEngland
1888,6.62,13.87,10.245,SouthEngland
1889,8.1,15.12,11.61,SouthEngland
1890,8.24,14.35,11.295,SouthEngland
1891,6.63,14.53,10.58,SouthEngland
1892,7.18,14.33,10.755,SouthEngland
1893,10.16,16.42,13.29,SouthEngland
1894,8.5,14.67,11.585,SouthEngland
1895,8.53,15.25,11.89,SouthEngland
1896,9.19,15.72,12.455,SouthEngland
1897,8.05,16.01,12.03,SouthEngland
1898,7.6,15.22,11.41,SouthEngland
1899,7.65,16.91,12.28,SouthEngland
1900,7.23,15.9,11.565,SouthEngland
1901,7.82,15.83,11.825,SouthEngland
1902,7.64,14.35,10.995,SouthEngland
1903,8.15,14.07,11.11,SouthEngland
1904,7.96,15.24,11.6,SouthEngland
1905,8.28,15.67,11.975,SouthEngland
1906,7.51,15.52,11.515,SouthEngland
1907,8.1,13.79,10.945,SouthEngland
1908,7.5,14.99,11.245,SouthEngland
1909,7.58,14.17,10.875,SouthEngland
1910,8.09,14.71,11.4,SouthEngland
1911,8.37,17.14,12.755,SouthEngland
1912,9.38,14.35,11.865,SouthEngland
1913,8.58,14.69,11.635,SouthEngland
1914,8.84,15.54,12.19,SouthEngland
1915,7.89,14.75,11.32,SouthEngland
1916,7.79,14.41,11.1,SouthEngland
1917,7.07,15.51,11.29,SouthEngland
1918,8.4,14.92,11.66,SouthEngland
1919,7.9,14.74,11.32,SouthEngland
1920,9.14,14.03,11.585,SouthEngland
1921,8.99,16.25,12.62,SouthEngland
1922,7.77,13.74,10.755,SouthEngland
1923,7.95,15.2,11.575,SouthEngland
1924,7.69,14.5,11.095,SouthEngland
1925,7.9,15.73,11.815,SouthEngland
1926,8.51,15.48,11.995,SouthEngland
1927,8.91,14.62,11.765,SouthEngland
1928,8.3,15.08,11.69,SouthEngland
1929,7.82,14.9,11.36,SouthEngland
1930,8.06,15.46,11.76,SouthEngland
1931,7.6,14.73,11.165,SouthEngland
1932,7.17,15.78,11.475,SouthEngland
1933,9.3,16.79,13.045,SouthEngland
1934,8.06,16.07,12.065,SouthEngland
1935,8.07,16.32,12.195,SouthEngland
1936,8.17,15.22,11.695,SouthEngland
1937,8.16,15.67,11.915,SouthEngland
1938,8.81,15.18,11.995,SouthEngland
1939,8.42,15.19,11.805,SouthEngland
1940,8.93,15.59,12.26,SouthEngland
1941,6.84,15.58,11.21,SouthEngland
1942,8.3,15.38,11.84,SouthEngland
1943,9.72,15.54,12.63,SouthEngland
1944,8.63,15.68,12.155,SouthEngland
1945,9.95,15.53,12.74,SouthEngland
1946,8.32,14.56,11.44,SouthEngland
1947,8.46,16.97,12.715,SouthEngland
1948,9.45,14.73,12.09,SouthEngland
1949,8.51,16.34,12.425,SouthEngland
1950,8.72,15.88,12.3,SouthEngland
1951,7.05,14.98,11.015,SouthEngland
1952,9.59,15.8,12.695,SouthEngland
1953,8.42,15.17,11.795,SouthEngland
1954,8.09,14.06,11.075,SouthEngland
1955,7.22,16.27,11.745,SouthEngland
1956,8.07,14.17,11.12,SouthEngland
1957,9.33,15.73,12.53,SouthEngland
1958,7.37,15.06,11.215,SouthEngland
1959,9.52,16.5,13.01,SouthEngland
1960,9.14,15.19,12.165,SouthEngland
1961,9.51,15.14,12.325,SouthEngland
1962,6.65,14.19,10.42,SouthEngland
1963,8.1,14.56,11.33,SouthEngland
1964,8.43,15.2,11.815,SouthEngland
1965,8.17,14.29,11.23,SouthEngland
1966,8.26,14.93,11.595,SouthEngland
1967,8.39,15.48,11.935,SouthEngland
1968,8,14.99,11.495,SouthEngland
1969,7.49,15.56,11.525,SouthEngland
1970,7.58,15.66,11.62,SouthEngland
1971,7.89,15.11,11.5,SouthEngland
1972,8.41,14.09,11.25,SouthEngland
1973,8.09,15.7,11.895,SouthEngland
1974,8.04,14.64,11.34,SouthEngland
1975,7.56,16.66,12.11,SouthEngland
1976,8.13,17.55,12.84,SouthEngland
1977,8.12,14.39,11.255,SouthEngland
1978,7.98,14.43,11.205,SouthEngland
1979,7.44,14.94,11.19,SouthEngland
1980,8.01,14.75,11.38,SouthEngland
1981,8.91,15.13,12.02,SouthEngland
1982,8.56,15.97,12.265,SouthEngland
1983,7.77,17.09,12.43,SouthEngland
1984,7.36,16.11,11.735,SouthEngland
1985,7.92,14.56,11.24,SouthEngland
1986,7.26,14.84,11.05,SouthEngland
1987,8.04,14.92,11.48,SouthEngland
1988,8.78,14.75,11.765,SouthEngland
1989,9.13,16.54,12.835,SouthEngland
1990,9.64,16.26,12.95,SouthEngland
1991,8.78,15.51,12.145,SouthEngland
1992,9.8,15.95,12.875,SouthEngland
1993,9.17,15.06,12.115,SouthEngland
1994,8.84,16.32,12.58,SouthEngland
1995,8.73,17.29,13.01,SouthEngland
1996,7.27,15.8,11.535,SouthEngland
1997,9.54,16.65,13.095,SouthEngland
1998,9.68,15.39,12.535,SouthEngland
1999,9.93,16.03,12.98,SouthEngland
2000,9.17,15.79,12.48,SouthEngland
2001,8.61,16.2,12.405,SouthEngland
2002,9.59,15.87,12.73,SouthEngland
2003,9.71,17.37,13.54,SouthEngland
2004,9.36,16.44,12.9,SouthEngland
