decimalLatitude,decimalLongitude,Year,SPRING,SUMMER,SUMMER_before,SPRING_temp,SUMMER_temp,SUMMER_before_temp
51.5343,-0.455,1987,SEASON_1987-04-16,SEASON_1987-07-16,SEASON_1986-07-16,8.769790126324535,15.895346027200265,16.096162890156418
50.4543,-4.9978,1963,SEASON_1963-04-16,SEASON_1963-07-16,SEASON_1962-07-16,8.744943420771547,14.534270874610568,14.190118264105738
51.0905,-2.267,1987,SEASON_1987-04-16,SEASON_1987-07-16,SEASON_1986-07-16,7.839361493848396,14.650762208518216,14.375977544912466
51.0723,-2.1722,1974,SEASON_1974-04-16,SEASON_1974-07-16,SEASON_1973-07-16,7.729970316960474,14.188598973296859,15.335588711749024
51.0723,-2.1722,1976,SEASON_1976-04-16,SEASON_1976-07-16,SEASON_1975-07-16,7.720617671295009,17.41095920572118,16.487608713399784
51.1835,-2.1066,1992,SEASON_1992-04-16,SEASON_1992-07-16,SEASON_1991-07-16,9.403087496777644,15.498230347025961,14.934864929799506
51.084,-2.3156,1983,SEASON_1983-04-16,SEASON_1983-07-16,SEASON_1982-07-16,7.386316053593354,17.030544221418907,15.57841255086424
51.0905,-2.267,1984,SEASON_1984-04-16,SEASON_1984-07-16,SEASON_1983-07-16,7.2746327791225935,16.022588684984388,17.030544221418907
51.0936,-2.1291,1984,SEASON_1984-04-16,SEASON_1984-07-16,SEASON_1983-07-16,7.2746327791225935,16.022588684984388,17.030544221418907
51.2463,-1.9922,1973,SEASON_1973-04-16,SEASON_1973-07-16,SEASON_1972-07-16,8.019427401258508,15.670821867384126,13.97036956374851
51.0723,-2.1722,1978,SEASON_1978-04-16,SEASON_1978-07-16,SEASON_1977-07-16,7.775478891439581,14.066078592455133,14.0109548668714
51.5343,-0.455,1985,SEASON_1985-04-16,SEASON_1985-07-16,SEASON_1984-07-16,8.651805020410105,15.539132053748993,17.240987713128902
51.5343,-0.455,1971,SEASON_1971-04-16,SEASON_1971-07-16,SEASON_1970-07-16,8.594656585665462,16.069480406106486,16.81514326094371
51.6444,-0.1997,1958,SEASON_1958-04-16,SEASON_1958-07-16,SEASON_1957-07-16,8.090562545091174,16.11581115255316,16.882390440446734
51.1371,-1.991,1978,SEASON_1978-04-16,SEASON_1978-07-16,SEASON_1977-07-16,8.060274637222975,14.408396794214498,14.258035037144738
51.1356,-2.0386,1991,SEASON_1991-04-16,SEASON_1991-07-16,SEASON_1990-07-16,8.504830628497222,14.934864929799506,15.85875547474741
