Individual,Species,Family,Month,Year,Location,Collector,Sex,Wing_Length,Forewing_Area,Abdomen_Width,Abdomen_Length,Lattitude_Group,Temperature_District,Temperature_Before,Temperature_Of,Ecology,Voltinism,,
72,small skipper,Hesperiidae,July,1883,Oxfordshire,,male,12.264,54.576,1.97,6.202,2,England S,11.75,10.71,GS,Univoltine,,
73,small skipper,Hesperiidae,July,1883,Oxfordshire,,male,12.163,53.63,2.054,5.343,2,England S,11.75,10.71,GS,Univoltine,,
37,dingy skipper,Hesperiidae,June,1885,Berkshire,,,11.436,51.236,2.392,4.647,2,England S,11.91,10.94,GS,Univoltine,,
40,dingy skipper,Hesperiidae,June,1885,Berkshire,,,12.047,54.872,1.876,4.836,2,England S,11.91,10.94,GS,Univoltine,,
38,dingy skipper,Hesperiidae,May,1886,Oxfordshire,,,11.85,50.917,2.234,4.699,2,England S,10.94,11.32,GS,Univoltine,,
41,dingy skipper,Hesperiidae,May,1886,Oxfordshire,,,12.535,55.909,2.117,5.543,2,England S,10.94,11.32,GS,Univoltine,,
34,small skipper,Hesperiidae,July,1887,Surrey,Meldola,male,13.011,63.04,2.046,6.71,2,England S,11.32,11.35,GS,Univoltine,,
74,small skipper,Hesperiidae,July,1887,Dorset,,female,13.456,62.309,2.704,4.589,1,England S,11.32,11.35,GS,Univoltine,,
75,small skipper,Hesperiidae,July,1887,Dorset,,male,12.662,54.059,2.139,5.637,1,England S,11.32,11.35,GS,Univoltine,,
42,dingy skipper,Hesperiidae,May,1888,Surrey,,,11.675,52.045,1.893,4.614,2,England S,11.35,10.245,GS,Univoltine,,
59,grizzled skipper,Hesperiidae,May,1888,Hampshire,FC Woodforde,,11.62,54.305,2.415,5.148,2,England S,11.35,10.245,GG,Univoltine,,
70,small skipper,Hesperiidae,July,1888,Norfolk,,male,12.91,56.503,1.823,7.147,3,England S,11.35,10.245,GS,Univoltine,,
71,small skipper,Hesperiidae,July,1888,Norfolk,,male,12.379,49.372,1.844,6.356,3,England S,11.35,10.245,GS,Univoltine,,
11,dingy skipper,Hesperiidae,May,1890,Gloucestershire,,,12.743,58.754,1.825,5.474,2,England S,11.61,11.295,GS,Univoltine,,
15,dingy skipper,Hesperiidae,May,1890,Gloucestershire,,,13.172,61.458,2.376,5.474,2,England S,11.61,11.295,GS,Univoltine,,
67,grizzled skipper,Hesperiidae,May,1890,Hampshire,HS Sellon,,10.331,43.632,1.861,4.651,2,England S,11.61,11.295,GG,Univoltine,,
68,grizzled skipper,Hesperiidae,May,1890,Hampshire,HS Sellon,,11.66,52.661,2.334,5.581,2,England S,11.61,11.295,GG,Univoltine,,
69,grizzled skipper,Hesperiidae,May,1890,Hampshire,HS Sellon,,10.427,41.04,1.991,4.781,1,England S,11.61,11.295,GG,Univoltine,,
5,small skipper,Hesperiidae,,1890,Dorset,HS Sellon,female,13.074,62.3,2.643,5.327,1,England S,11.61,11.295,GS,Univoltine,,
14,small skipper,Hesperiidae,,1890,Dorset,HS Sellon,male,11.149,52.255,1.879,6.671,1,England S,11.61,11.295,GS,Univoltine,,
20,small skipper,Hesperiidae,August,1890,Hampshire,Chitty,male,12.409,60.27,2.355,5.74,2,England S,11.61,11.295,GS,Univoltine,,
