Individual,Taxon name,Location,LocationType,Month,Year,Sex,Wing_Length,Forewing_Area,Abdomen_Width,Abdomen_Length,SPRING_temp,SUMMER_temp,SUMMER_before_temp
37,Erynnis tages,Berkshire,VC,6,1885,NA,11.436,51.236,2.392,4.647,6.9859209060668945,15.066981315612791,15.701898574829102
40,Erynnis tages,Berkshire,VC,6,1885,NA,12.047,54.872,1.876,4.836,6.9859209060668945,15.066981315612791,15.701898574829102
38,Erynnis tages,Oxfordshire,VC,5,1886,NA,11.85,50.917,2.234,4.699,7.2724833488464355,15.03844165802002,14.682724952697754
41,Erynnis tages,Oxfordshire,VC,5,1886,NA,12.535,55.909,2.117,5.543,7.2724833488464355,15.03844165802002,14.682724952697754
34,Thymelicus sylvestris,Surrey,VC,7,1887,male,13.011,63.04,2.046,6.71,6.492912769317627,16.259769439697266,15.38539218902588
74,Thymelicus sylvestris,Dorset,VC,7,1887,female,13.456,62.309,2.704,4.589,6.6891889572143555,15.99232292175293,15.45327091217041
75,Thymelicus sylvestris,Dorset,VC,7,1887,male,12.662,54.059,2.139,5.637,6.6891889572143555,15.99232292175293,15.45327091217041
42,Erynnis tages,Surrey,VC,5,1888,NA,11.675,52.045,1.893,4.614,6.613089084625244,14.05527687072754,16.259769439697266
59,Pyrgus malvae,Hampshire,UA,5,1888,NA,11.62,54.305,2.415,5.148,6.728203296661377,14.09487247467041,16.288959503173828
70,Thymelicus sylvestris,Norfolk,UA,7,1888,male,12.91,56.503,1.823,7.147,6.357548713684082,13.900177001953123,16.15528678894043
71,Thymelicus sylvestris,Norfolk,UA,7,1888,male,12.379,49.372,1.844,6.356,6.357548713684082,13.900177001953123,16.15528678894043
11,Erynnis tages,Gloucestershire,UA,5,1890,NA,12.743,58.754,1.825,5.474,8.336980819702148,14.365055084228516,15.05352020263672
15,Erynnis tages,Gloucestershire,UA,5,1890,NA,13.172,61.458,2.376,5.474,8.336980819702148,14.365055084228516,15.05352020263672
67,Pyrgus malvae,Hampshire,UA,5,1890,NA,10.331,43.632,1.861,4.651,8.570455551147461,14.694035530090332,15.527140617370604
68,Pyrgus malvae,Hampshire,UA,5,1890,NA,11.66,52.661,2.334,5.581,8.570455551147461,14.694035530090332,15.527140617370604
69,Pyrgus malvae,Hampshire,UA,5,1890,NA,10.427,41.04,1.991,4.781,8.570455551147461,14.694035530090332,15.527140617370604
20,Thymelicus sylvestris,Hampshire,UA,8,1890,male,12.409,60.27,2.355,5.74,8.570455551147461,14.694035530090332,15.527140617370604
