Individual,Taxon name,Location,LocationType,Month,Year,Sex,Wing_Length,Forewing_Area,Abdomen_Width,Abdomen_Length,T_August,T_July,T_June,T_May,T_April,T_March,T_SeptBefore,T_AugustBefore,T_JulyBefore,T_JuneBefore
37,Erynnis tages,Berkshire,VC,6,1885,NA,11.436,51.236,2.392,4.647,14.32923,16.634161,14.209906,8.932015,7.696237,4.352426,14.537566,17.017393,16.040068,13.993114
40,Erynnis tages,Berkshire,VC,6,1885,NA,12.047,54.872,1.876,4.836,14.32923,16.634161,14.209906,8.932015,7.696237,4.352426,14.537566,17.017393,16.040068,13.993114
38,Erynnis tages,Oxfordshire,VC,5,1886,NA,11.85,50.917,2.234,4.699,15.828409,15.985255,13.24377,10.404183,7.621563,3.802963,12.029276,13.763764,16.390112,13.868019
41,Erynnis tages,Oxfordshire,VC,5,1886,NA,12.535,55.909,2.117,5.543,15.828409,15.985255,13.24377,10.404183,7.621563,3.802963,12.029276,13.763764,16.390112,13.868019
34,Thymelicus sylvestris,Surrey,VC,7,1887,male,13.011,63.04,2.046,6.71,16.043722,17.630079,15.115973,9.646569,6.339357,3.487859,14.387921,16.171984,16.208206,13.72234
74,Thymelicus sylvestris,Dorset,VC,7,1887,female,13.456,62.309,2.704,4.589,15.837232,16.99028,15.111225,10.075176,6.074204,3.898348,14.074464,16.080416,16.260925,13.970646
75,Thymelicus sylvestris,Dorset,VC,7,1887,male,12.662,54.059,2.139,5.637,15.837232,16.99028,15.111225,10.075176,6.074204,3.898348,14.074464,16.080416,16.260925,13.970646
42,Erynnis tages,Surrey,VC,5,1888,NA,11.675,52.045,1.893,4.614,14.436812,13.991373,13.727057,10.60177,5.987233,3.483405,11.809381,16.043722,17.630079,15.115973
59,Pyrgus malvae,Hampshire,UA,5,1888,NA,11.62,54.305,2.415,5.148,14.53063,14.090854,13.648742,10.714097,6.110024,3.359372,12.010036,16.156528,17.509233,15.170878
70,Thymelicus sylvestris,Norfolk,UA,7,1888,male,12.91,56.503,1.823,7.147,14.380238,13.718801,13.591536,10.37714,5.887013,2.776091,11.825918,15.715539,17.92614,14.777737
71,Thymelicus sylvestris,Norfolk,UA,7,1888,male,12.379,49.372,1.844,6.356,14.380238,13.718801,13.591536,10.37714,5.887013,2.776091,11.825918,15.715539,17.92614,14.777737
11,Erynnis tages,Gloucestershire,UA,5,1890,NA,12.743,58.754,1.825,5.474,14.612985,14.650568,13.813003,11.636373,7.224503,6.114335,13.010235,14.529429,15.208212,15.434496
15,Erynnis tages,Gloucestershire,UA,5,1890,NA,13.172,61.458,2.376,5.474,14.612985,14.650568,13.813003,11.636373,7.224503,6.114335,13.010235,14.529429,15.208212,15.434496
67,Pyrgus malvae,Hampshire,UA,5,1890,NA,10.331,43.632,1.861,4.651,15.179356,15.019054,13.86137,12.12913,7.586087,5.962818,13.289347,15.032546,15.746454,15.815042
68,Pyrgus malvae,Hampshire,UA,5,1890,NA,11.66,52.661,2.334,5.581,15.179356,15.019054,13.86137,12.12913,7.586087,5.962818,13.289347,15.032546,15.746454,15.815042
69,Pyrgus malvae,Hampshire,UA,5,1890,NA,10.427,41.04,1.991,4.781,15.179356,15.019054,13.86137,12.12913,7.586087,5.962818,13.289347,15.032546,15.746454,15.815042
20,Thymelicus sylvestris,Hampshire,UA,8,1890,male,12.409,60.27,2.355,5.74,15.179356,15.019054,13.86137,12.12913,7.586087,5.962818,13.289347,15.032546,15.746454,15.815042
29,Thymelicus sylvestris,Hampshire,UA,8,1890,female,13.701,69.184,2.891,7.102,15.179356,15.019054,13.86137,12.12913,7.586087,5.962818,13.289347,15.032546,15.746454,15.815042
30,Thymelicus sylvestris,Hampshire,UA,8,1890,female,13.476,66.878,2.871,6.545,15.179356,15.019054,13.86137,12.12913,7.586087,5.962818,13.289347,15.032546,15.746454,15.815042
42,Thymelicus sylvestris,Hampshire,UA,8,1890,female,13.361,64.375,2.829,6.058,15.179356,15.019054,13.86137,12.12913,7.586087,5.962818,13.289347,15.032546,15.746454,15.815042
43,Pyrgus malvae,Devon,UA,5,1891,NA,11.117,46.14,2.419,4.532,14.063274,14.61182,14.461683,9.419308,6.827018,4.094454,14.075069,14.590652,14.278714,13.480564
7,Thymelicus sylvestris,Dorset,VC,7,1891,male,12.542,59.082,1.632,5.763,14.449139,15.047814,14.768851,9.787079,6.59582,4.143579,14.593796,15.056428,14.805345,13.687613
8,Thymelicus sylvestris,Dorset,VC,7,1891,female,12.403,61.414,2.498,5.905,14.449139,15.047814,14.768851,9.787079,6.59582,4.143579,14.593796,15.056428,14.805345,13.687613
9,Thymelicus sylvestris,Hampshire,UA,7,1891,female,12.671,60.851,2.975,5.038,14.660142,15.228122,15.101306,10.06214,6.571131,4.126819,14.737166,15.179356,15.019054,13.86137
10,Thymelicus sylvestris,Hampshire,UA,7,1891,male,12.862,56.812,2.085,6.731,14.660142,15.228122,15.101306,10.06214,6.571131,4.126819,14.737166,15.179356,15.019054,13.86137
17,Thymelicus sylvestris,Dorset,VC,7,1891,male,12.847,65.831,2.271,6.174,14.449139,15.047814,14.768851,9.787079,6.59582,4.143579,14.593796,15.056428,14.805345,13.687613
