Sp,Latitude,Longitude,Month,Year,YearRescale,Sex,Wing_Length,FocalMonthLateLarval
Erynnis tages,51.513961,-1.206343,6,1885,0.85,undetermined,11.436,AugustBefore
Erynnis tages,51.513961,-1.206343,6,1885,0.85,undetermined,12.047,AugustBefore
Erynnis tages,51.808155,-1.287024,5,1886,0.86,undetermined,11.85,AugustBefore
Erynnis tages,51.808155,-1.287024,5,1886,0.86,undetermined,12.535,AugustBefore
Thymelicus sylvestris,51.2695,-0.373578,7,1887,0.87,male,13.011,May
Thymelicus sylvestris,50.664945,-2.338924,7,1887,0.87,female,13.456,May
Thymelicus sylvestris,50.664945,-2.338924,7,1887,0.87,male,12.662,May
Erynnis tages,51.2695,-0.373578,5,1888,0.88,undetermined,11.675,AugustBefore
Pyrgus malvae,51.067775,-1.28873,5,1888,0.88,undetermined,11.62,July
Thymelicus sylvestris,52.671298,0.953194,7,1888,0.88,male,12.91,May
Thymelicus sylvestris,52.671298,0.953194,7,1888,0.88,male,12.379,May
Erynnis tages,51.827553,-2.119611,5,1890,0.9,undetermined,12.743,AugustBefore
Erynnis tages,51.827553,-2.119611,5,1890,0.9,undetermined,13.172,AugustBefore
Pyrgus malvae,51.067775,-1.28873,5,1890,0.9,undetermined,10.331,July
Pyrgus malvae,51.067775,-1.28873,5,1890,0.9,undetermined,11.66,July
Pyrgus malvae,51.067775,-1.28873,5,1890,0.9,undetermined,10.427,July
Thymelicus sylvestris,51.067775,-1.28873,8,1890,0.9,male,12.409,May
Thymelicus sylvestris,51.067775,-1.28873,8,1890,0.9,female,13.701,May
Thymelicus sylvestris,51.067775,-1.28873,8,1890,0.9,female,13.476,May
Thymelicus sylvestris,51.067775,-1.28873,8,1890,0.9,female,13.361,May
Pyrgus malvae,50.761012,-3.810213,5,1891,0.91,undetermined,11.117,July
Thymelicus sylvestris,50.664945,-2.338924,7,1891,0.91,male,12.542,May
Thymelicus sylvestris,50.664945,-2.338924,7,1891,0.91,female,12.403,May
Thymelicus sylvestris,51.067775,-1.28873,7,1891,0.91,female,12.671,May
Thymelicus sylvestris,51.067775,-1.28873,7,1891,0.91,male,12.862,May
Thymelicus sylvestris,50.664945,-2.338924,7,1891,0.91,male,12.847,May
Thymelicus sylvestris,51.067775,-1.28873,7,1891,0.91,female,12.509,May
Thymelicus sylvestris,50.664945,-2.338924,7,1891,0.91,male,13.193,May
Thymelicus sylvestris,50.664945,-2.338924,8,1891,0.91,female,13.919,May
Thymelicus sylvestris,51.067775,-1.28873,7,1891,0.91,male,11.893,May
Hesperia comma,51.808155,-1.287024,8,1892,0.92,male,12.434,June
Hesperia comma,50.664945,-2.338924,8,1892,0.92,male,14.093,June
Hesperia comma,50.664945,-2.338924,8,1892,0.92,female,14.635,June
Erynnis tages,51.2695,-0.373578,5,1893,0.93,undetermined,11.212,AugustBefore
Pyrgus malvae,51.067775,-1.28873,4,1893,0.93,undetermined,11.029,July
Pyrgus malvae,51.067775,-1.28873,4,1893,0.93,undetermined,10.747,July
