Individual,Taxon name,Location,LocationType,Month,Year,Sex,Wing_Length,Forewing_Area,Abdomen_Width,Abdomen_Length
37,Erynnis tages,Berkshire,VC,6,1885,NA,11.436,51.236,2.392,4.647
40,Erynnis tages,Berkshire,VC,6,1885,NA,12.047,54.872,1.876,4.836
38,Erynnis tages,Oxfordshire,VC,5,1886,NA,11.85,50.917,2.234,4.699
41,Erynnis tages,Oxfordshire,VC,5,1886,NA,12.535,55.909,2.117,5.543
34,Thymelicus sylvestris,Surrey,VC,7,1887,male,13.011,63.04,2.046,6.71
74,Thymelicus sylvestris,Dorset,VC,7,1887,female,13.456,62.309,2.704,4.589
75,Thymelicus sylvestris,Dorset,VC,7,1887,male,12.662,54.059,2.139,5.637
42,Erynnis tages,Surrey,VC,5,1888,NA,11.675,52.045,1.893,4.614
59,Pyrgus malvae,Hampshire,UA,5,1888,NA,11.62,54.305,2.415,5.148
70,Thymelicus sylvestris,Norfolk,UA,7,1888,male,12.91,56.503,1.823,7.147
71,Thymelicus sylvestris,Norfolk,UA,7,1888,male,12.379,49.372,1.844,6.356
11,Erynnis tages,Gloucestershire,UA,5,1890,NA,12.743,58.754,1.825,5.474
15,Erynnis tages,Gloucestershire,UA,5,1890,NA,13.172,61.458,2.376,5.474
67,Pyrgus malvae,Hampshire,UA,5,1890,NA,10.331,43.632,1.861,4.651
68,Pyrgus malvae,Hampshire,UA,5,1890,NA,11.66,52.661,2.334,5.581
69,Pyrgus malvae,Hampshire,UA,5,1890,NA,10.427,41.04,1.991,4.781
5,Thymelicus sylvestris,Dorset,VC,NA,1890,female,13.074,62.3,2.643,5.327
14,Thymelicus sylvestris,Dorset,VC,NA,1890,male,11.149,52.255,1.879,6.671
20,Thymelicus sylvestris,Hampshire,UA,8,1890,male,12.409,60.27,2.355,5.74
23,Thymelicus sylvestris,Dorset,VC,NA,1890,female,13.023,58.89,2.107,5.434
29,Thymelicus sylvestris,Hampshire,UA,8,1890,female,13.701,69.184,2.891,7.102
30,Thymelicus sylvestris,Hampshire,UA,8,1890,female,13.476,66.878,2.871,6.545
42,Thymelicus sylvestris,Hampshire,UA,8,1890,female,13.361,64.375,2.829,6.058
43,Pyrgus malvae,Devon,UA,5,1891,NA,11.117,46.14,2.419,4.532
7,Thymelicus sylvestris,Dorset,VC,7,1891,male,12.542,59.082,1.632,5.763
8,Thymelicus sylvestris,Dorset,VC,7,1891,female,12.403,61.414,2.498,5.905
9,Thymelicus sylvestris,Hampshire,UA,7,1891,female,12.671,60.851,2.975,5.038
10,Thymelicus sylvestris,Hampshire,UA,7,1891,male,12.862,56.812,2.085,6.731
17,Thymelicus sylvestris,Dorset,VC,7,1891,male,12.847,65.831,2.271,6.174
19,Thymelicus sylvestris,Hampshire,UA,7,1891,female,12.509,56.631,2.26,5.832
25,Thymelicus sylvestris,Dorset,VC,7,1891,male,13.193,61.698,2.252,6.567
26,Thymelicus sylvestris,Dorset,VC,8,1891,female,13.919,69.37,2.829,6.277
28,Thymelicus sylvestris,Hampshire,UA,7,1891,male,11.893,54.76,1.982,6.504
63,Hesperia comma,Oxfordshire,VC,8,1892,male,12.434,50.763,2.26,5.558
65,Hesperia comma,Dorset,VC,8,1892,male,14.093,62.266,2.332,5.612
66,Hesperia comma,Dorset,VC,8,1892,female,14.635,72.874,3.17,6.687
43,Erynnis tages,Surrey,VC,5,1893,NA,11.212,51.022,2.031,5.594
57,Pyrgus malvae,Hampshire,UA,4,1893,NA,11.029,47.755,2.152,4.227
58,Pyrgus malvae,Hampshire,UA,4,1893,NA,10.747,44.459,1.988,5.004
60,Pyrgus malvae,Oxfordshire,VC,4,1893,NA,11.162,48.068,2.17,5.238
87,Pyrgus malvae,Essex,UA,5,1893,NA,11.172,45.596,1.968,4.918
48,Thymelicus sylvestris,Berkshire,VC,NA,1893,male,11.847,51.9,1.88,6.629
79,Pyrgus malvae,Surrey,VC,5,1895,NA,11.382,51.202,2.115,4.787
15,Hesperia comma,Berkshire,VC,8,1895,male,12.84,60.662,2.125,5.865
16,Hesperia comma,Berkshire,VC,8,1895,male,12.966,59.901,2.029,5.374
17,Hesperia comma,Berkshire,VC,8,1895,female,14.252,77.013,3.683,8.193
19,Hesperia comma,Surrey,VC,8,1895,male,11.978,55.106,2.424,6.71
20,Hesperia comma,Surrey,VC,8,1895,male,13.21,58.135,2.349,5.224
21,Hesperia comma,Surrey,VC,8,1895,female,13.978,71.052,2.913,7.253
22,Hesperia comma,Surrey,VC,8,1895,female,13.893,66.478,3.232,5.637
