Sp,MeanRightWing,SD_RightWing,CV_RightWing
Aglais io,27.7,2.086,0.0753
Aglais urticae,22.77,1.555,0.0683
Anthocharis cardamines,19.36,1.557,0.08044
Apatura iris,34.4,2.37,0.06888
Aphantopus hyperantus,21.24,1.384,0.06515
Argynnis paphia,30.9,1.881,0.0609
Aricia agestis,12.17,0.869,0.07139
Boloria euphrosyne,20.06,1.034,0.05155
Boloria selene,19.14,1.231,0.06434
Callophrys rubi,13.38,0.7694,0.0575
Carterocephalus palaemon,12.65,0.6802,0.05379
Celastrina argiolus,15.08,0.9667,0.0641
Coenonympha pamphilus,14.64,0.9875,0.06743
Coenonympha tullia,18.03,0.7888,0.04376
Cupido minimus,10.94,0.7971,0.07286
Erynnis tages,12.28,0.7188,0.05852
Euphydryas aurinia,19.03,1.757,0.09233
Fabriciana adippe,27.28,1.763,0.06463
Favonius quercus,15.79,0.937,0.05935
Gonepteryx rhamni,28.03,1.248,0.04454
Hamearis lucina,13.63,0.6433,0.04719
Hesperia comma,13.48,0.9702,0.07196
Hipparchia semele,24.99,2.343,0.09379
Lasiommata megera,21.36,1.229,0.05753
Leptidea sinapis,19.05,0.9405,0.04937
Limenitis camilla,26.88,1.629,0.06063
Lycaena phlaeas,13.7,0.9073,0.06621
Maniola jurtina,22.43,1.712,0.07635
Melanargia galathea,23.49,1.7,0.07236
Melitaea athalia,18.84,1.319,0.07
Melitaea cinxia,19.31,1.537,0.07963
Nymphalis polychloros,28.35,2.097,0.07397
Ochlodes sylvanus,13.96,0.8491,0.06082
Papilio machaon,37.91,2.696,0.07113
Pararge aegeria,20.58,0.9684,0.04705
Pieris brassicae,30.32,1.271,0.0419
Pieris napi,21.89,1.174,0.05365
Pieris rapae,23.1,1.279,0.05535
Plebejus argus,12.43,1.146,0.0922
Polygonia c-album,23.21,1.236,0.05323
Polyommatus bellargus,14.74,0.7332,0.04975
Polyommatus coridon,16.16,1.148,0.07107
Polyommatus icarus,13.92,0.8798,0.06322
Pyrgus malvae,10.73,0.5755,0.05364
Pyronia tithonus,18.58,1.469,0.07908
Satyrium pruni,15.58,0.7261,0.04659
Satyrium w-album,15.03,0.8103,0.05389
Speyeria aglaja,27.51,1.796,0.06529
Thecla betulae,17.14,0.9231,0.05385
Thymelicus acteon,10.89,0.6224,0.05715
Thymelicus lineola,11.99,0.8726,0.07278
Thymelicus sylvestris,12.58,0.6405,0.0509
