Location,LocationType,latitude,longitude
Hartlepool,UA,54.66944,-1.259361
Middlesbrough,UA,54.542,-1.222262
Redcar and Cleveland,UA,54.551691,-1.020659
Stockton-on-Tees,UA,54.561586,-1.332314
Darlington,UA,54.548699,-1.552601
Halton,UA,53.345141,-2.712191
Warrington,UA,53.399097,-2.562762
Blackburn with Darwen,UA,53.692604,-2.467551
Blackpool,UA,53.817807,-3.029244
"Kingston upon Hull, City of",UA,53.764067,-0.334845
East Riding of Yorkshire,UA,53.874534,-0.492463
North East Lincolnshire,UA,53.542587,-0.137914
North Lincolnshire,UA,53.590859,-0.593887
York,UA,53.95874,-1.061442
Derby,UA,52.912535,-1.468344
Leicester,UA,52.637915,-1.128482
Rutland,UA,52.660725,-0.654674
Nottingham,UA,52.960587,-1.176514
"Herefordshire, County of",UA,52.103471,-2.744954
Telford and Wrekin,UA,52.730182,-2.488789
Stoke-on-Trent,UA,53.018022,-2.164514
Bath and North East Somerset,UA,51.355985,-2.47526
"Bristol, City of",UA,51.466798,-2.600441
North Somerset,UA,51.389769,-2.794254
South Gloucestershire,UA,51.541892,-2.457437
Plymouth,UA,50.391983,-4.118208
Torbay,UA,50.441750999999996,-3.554201
Swindon,UA,51.571511,-1.743799
Peterborough,UA,52.608561,-0.25315
Luton,UA,51.894221,-0.425607
Southend-on-Sea,UA,51.547768,0.709472
Thurrock,UA,51.509095,0.36792
Medway,UA,51.415146,0.55394
Bracknell Forest,UA,51.40812,-0.739798
West Berkshire,UA,51.449632,-1.304421
Reading,UA,51.452988,-0.983851
Slough,UA,51.508402,-0.586239
Windsor and Maidenhead,UA,51.485656,-0.699465
Wokingham,UA,51.42939,-0.883854
Milton Keynes,UA,52.083801,-0.733535
Brighton and Hove,UA,50.844599,-0.134068
Portsmouth,UA,50.820683,-1.070121
Southampton,UA,50.919918,-1.399119
Isle of Wight,UA,50.674669,-1.297692
County Durham,UA,54.695411,-1.840169
Cheshire East,UA,53.180267,-2.349946
Cheshire West and Chester,UA,53.197749,-2.732805
Shropshire,UA,52.634899,-2.734052
Cornwall,UA,50.406361,-4.827447
Isles of Scilly,UA,49.935544,-6.314365
Wiltshire,UA,51.297115,-1.944608
Bedford,UA,52.189173,-0.47708
Central Bedfordshire,UA,52.006631,-0.436294
Northumberland,UA,55.238546,-2.069144
"Bournemouth, Christchurch and Poole",UA,50.749586,-1.878926
Dorset,UA,50.80794,-2.335999
Buckinghamshire,UA,51.784955,-0.811554
North Northamptonshire,UA,52.425479,-0.626074
West Northamptonshire,UA,52.222818,-1.036356
Cumberland,UA,54.726466,-3.125078
Westmorland and Furness,UA,54.47988,-2.72007
North Yorkshire,UA,54.190567,-1.420125
Somerset,UA,51.099254,-2.938838
Bolton,UA,53.57863,-2.466973
Bury,UA,53.587813,-2.312539
Manchester,UA,53.451479,-2.232535
Oldham,UA,53.551882,-2.050645
Rochdale,UA,53.616555,-2.157868
Salford,UA,53.489524,-2.370162
Stockport,UA,53.393965,-2.128118
Tameside,UA,53.477472,-2.062826
Trafford,UA,53.418987,-2.355349
Wigan,UA,53.524148,-2.589458
Knowsley,UA,53.425123,-2.834055
Liverpool,UA,53.403917,-2.916667
St. Helens,UA,53.459476,-2.72359
Sefton,UA,53.551038,-3.004556
Wirral,UA,53.362144,-3.071123
Barnsley,UA,53.535863,-1.532581
Doncaster,UA,53.544226,-1.095832
Rotherham,UA,53.408608,-1.286152
Sheffield,UA,53.404417,-1.550358
Newcastle upon Tyne,UA,55.008254,-1.658238
North Tyneside,UA,55.028397,-1.519294
South Tyneside,UA,54.962744,-1.444428
Sunderland,UA,54.879927,-1.452696
Birmingham,UA,52.488567,-1.874775
Coventry,UA,52.416864,-1.519784
Dudley,UA,52.482846,-2.108736
Sandwell,UA,52.515428,-2.008982
Solihull,UA,52.413114,-1.727074
Walsall,UA,52.599255,-1.966334
Wolverhampton,UA,52.589193,-2.120996
Bradford,UA,53.844671,-1.854655
Calderdale,UA,53.721181,-1.973402
Kirklees,UA,53.627347,-1.763315
Leeds,UA,53.825744,-1.506011
Wakefield,UA,53.660666,-1.411807
Gateshead,UA,54.934989,-1.683234
City of London,UA,51.514863,-0.092165
Barking and Dagenham,UA,51.545291,0.133491
Barnet,UA,51.616015,-0.210004
Bexley,UA,51.4588,0.140348
Brent,UA,51.55855,-0.267814
Bromley,UA,51.371976,0.051559
Camden,UA,51.546378,-0.157412
Croydon,UA,51.355325,-0.087164
Ealing,UA,51.522485,-0.330993
Enfield,UA,51.650999,-0.087247
Greenwich,UA,51.472802,0.056255
Hackney,UA,51.552259,-0.063358
Hammersmith and Fulham,UA,51.495947,-0.221279
Haringey,UA,51.590374,-0.107449
Harrow,UA,51.597728,-0.341268
Havering,UA,51.564374,0.221109
Hillingdon,UA,51.541464,-0.445664
Hounslow,UA,51.468393,-0.367117
Islington,UA,51.548486,-0.11027
Kensington and Chelsea,UA,51.50161,-0.192743
Kingston upon Thames,UA,51.387891,-0.286914
Lambeth,UA,51.453104,-0.118275
Lewisham,UA,51.448092,-0.020235
Merton,UA,51.409954,-0.197237
Newham,UA,51.528342,0.036378
Redbridge,UA,51.585686,0.075871
Richmond upon Thames,UA,51.44215,-0.313043
Southwark,UA,51.473119,-0.07462
Sutton,UA,51.36209,-0.177559
Tower Hamlets,UA,51.517194,-0.035606
Waltham Forest,UA,51.594032,-0.012641
Wandsworth,UA,51.451359,-0.186447
Westminster,UA,51.513884,-0.16129
Cambridgeshire,UA,52.339407,0.033651
Derbyshire,UA,53.141555,-1.614933
Devon,UA,50.761012,-3.810213
East Sussex,UA,50.942088,0.274893
Essex,UA,51.811679,0.559814
Gloucestershire,UA,51.827553,-2.119611
Hampshire,UA,51.067775,-1.28873
Hertfordshire,UA,51.829662,-0.217377
Kent,UA,51.219673,0.73193
Lancashire,UA,53.844339,-2.611607
Leicestershire,UA,52.667575,-1.113789
Lincolnshire,UA,53.113979,-0.249483
Norfolk,UA,52.671298,0.953194
Nottinghamshire,UA,53.132963,-1.007002
Oxfordshire,UA,51.765407,-1.321969
Staffordshire,UA,52.851456,-2.03226
Suffolk,UA,52.220968,1.058626
Surrey,UA,51.247926,-0.420588
Warwickshire,UA,52.300229,-1.559725
West Sussex,UA,50.958367,-0.490203
Worcestershire,UA,52.223552,-2.169043
Antrim and Newtownabbey,UA,54.701849,-6.19874
"Armagh City, Banbridge and Craigavon",UA,54.369287,-6.457667
Belfast,UA,54.596422,-5.943841
Causeway Coast and Glens,UA,55.060259,-6.59253
Derry City and Strabane,UA,54.820339,-7.361241
Fermanagh and Omagh,UA,54.44234,-7.504598
Lisburn and Castlereagh,UA,54.508314,-6.053451
Mid and East Antrim,UA,54.874453,-6.102177
Mid Ulster,UA,54.621514,-6.792871
"Newry, Mourne and Down",UA,54.236316,-6.069029
Ards and North Down,UA,54.534757,-5.630085
Clackmannanshire,UA,56.152029,-3.740478
Dumfries and Galloway,UA,55.077689,-3.963318
East Ayrshire,UA,55.485011,-4.314204
East Lothian,UA,55.939864,-2.720443
East Renfrewshire,UA,55.753152,-4.359507
Na h-Eileanan Siar,UA,57.923195,-6.858085
Falkirk,UA,55.995166,-3.797922
Highland,UA,57.572421,-4.769315
Inverclyde,UA,55.901188,-4.743587
Midlothian,UA,55.832232,-3.110415
Moray,UA,57.473836,-3.265315
North Ayrshire,UA,55.651049,-4.980456
Orkney Islands,UA,59.024448,-3.047953
Scottish Borders,UA,55.576014,-2.7889
Shetland Islands,UA,60.379087,-1.25679
South Ayrshire,UA,55.267281,-4.688713
South Lanarkshire,UA,55.612626,-3.810583
Stirling,UA,56.244141,-4.340805
Aberdeen City,UA,57.157128,-2.186846
Aberdeenshire,UA,57.240712,-2.633684
Argyll and Bute,UA,56.121662,-5.496667
City of Edinburgh,UA,55.924307,-3.28848
Renfrewshire,UA,55.845683,-4.543496
West Dunbartonshire,UA,55.98648,-4.5166
West Lothian,UA,55.884244,-3.574439
Angus,UA,56.724663,-2.920291
Dundee City,UA,56.477989,-2.970485
East Dunbartonshire,UA,55.956035,-4.225567
Fife,UA,56.228495,-3.127621
Perth and Kinross,UA,56.566485,-3.823253
Glasgow City,UA,55.85783,-4.252592
North Lanarkshire,UA,55.874759,-3.948261
Isle of Anglesey,UA,53.287099,-4.373823
Gwynedd,UA,52.892868,-4.021067
Conwy,UA,53.13788,-3.734492
Denbighshire,UA,53.08969,-3.353171
Flintshire,UA,53.208465,-3.159782
Wrexham,UA,52.990267,-3.017861
Ceredigion,UA,52.254042,-4.072587
Pembrokeshire,UA,51.855612,-4.886005
Carmarthenshire,UA,51.905064,-4.158176
Swansea,UA,51.643539,-4.050702
Neath Port Talbot,UA,51.681498,-3.741494
Bridgend,UA,51.556911,-3.598403
Vale of Glamorgan,UA,51.445754,-3.399109
Cardiff,UA,51.510057,-3.203561
Rhondda Cynon Taf,UA,51.65034,-3.435543
Caerphilly,UA,51.653272,-3.204899
Blaenau Gwent,UA,51.766737,-3.193817
Torfaen,UA,51.698595,-3.053428
Monmouthshire,UA,51.765963,-2.872135
Newport,UA,51.579363,-2.965898
Powys,UA,52.323728,-3.409909
Merthyr Tydfil,UA,51.740933,-3.361046
Shetland,VC,60.245123,-1.345298
West Sutherland,VC,58.466725,-4.78664
West Ross,VC,57.710616,-5.521668
North Ebudes,VC,57.259728,-6.413911
Mid Ebudes,VC,56.468204,-6.555772
West Inverness-shire,VC,56.862687,-5.369723
East Ross,VC,57.705139,-4.520687
East Sutherland,VC,58.087748,-4.156737
Moray,VC,57.594734,-3.452133
Banffshire,VC,57.583837,-2.867848
North Aberdeenshire,VC,57.526958,-2.080413
East Inverness-shire,VC,57.247803,-4.314882
South Ebudes,VC,55.828858,-6.271242
Argyll,VC,56.308939,-5.164915
Mid Perthshire,VC,56.522203,-4.055986
East Perthshire,VC,56.696696,-3.576031
South Aberdeenshire,VC,57.125309,-2.805504
Kincardineshire,VC,56.931715,-2.190042
Kintyre,VC,55.51293,-5.680632
Dunbartonshire,VC,56.061022,-4.653805
Renfrewshire,VC,55.840437,-4.5466240000000004
West Perthshire,VC,56.230286,-4.137659
Stirlingshire,VC,56.053392,-4.155792
Angus,VC,56.674353,-2.782702
Fifeshire,VC,56.238892,-2.917164
East Lothian,VC,56.009929,-2.541296
North Northumberland,VC,55.566251,-1.76533
Berwickshire,VC,55.813308,-2.325532
Midlothian,VC,55.85059,-3.190877
West Lothian,VC,55.937882,-3.569291
Lanarkshire,VC,55.665243,-3.852904
Wigtownshire,VC,54.776659,-4.878956
Kirkcudbrightshire,VC,54.952677,-4.052772
Dumfriesshire,VC,55.199301,-3.472694
Peeblesshire,VC,55.614727,-3.297307
Selkirkshire,VC,55.499388,-3.044976
South Northumberland,VC,55.113625999999996,-1.948212
Roxburghshire,VC,55.429381,-2.644565
Cumberland,VC,54.649208,-3.225041
Isle of Man,VC,54.198766,-4.562
County Durham,VC,54.763053,-1.538116
North-east Yorkshire,VC,54.383331,-0.831608
South-east Yorkshire,VC,53.920838,-0.254429
Mid-west Yorkshire,VC,53.995628,-1.798581
North-west Yorkshire,VC,54.366756,-1.926501
Westmorland,VC,54.33334,-2.868833
West Lancashire,VC,53.922663,-2.925084
South Lancashire,VC,53.602244,-2.65805
South-west Yorkshire,VC,53.613117,-1.512659
North Lincolnshire,VC,53.366523,-0.115214
South Lincolnshire,VC,52.935205,-0.253637
West Norfolk,VC,52.780404,0.651004
East Norfolk,VC,52.763339,1.426775
East Suffolk,VC,52.201045,1.536061
West Suffolk,VC,52.222124,0.719312
Cambridgeshire,VC,52.338685,0.13237
Huntingdonshire,VC,52.381511,-0.222099
Northamptonshire,VC,52.332389,-0.823832
Leicestershire,VC,52.666388,-1.047445
Nottinghamshire,VC,53.129742,-1.011798
Derbyshire,VC,53.133779,-1.602217
Staffordshire,VC,52.823455,-2.043632
Cheshire,VC,53.254834,-2.582571
Flintshire,VC,53.29743,-3.292528
Denbighshire,VC,53.100734,-3.382433
Anglesey,VC,53.35898,-4.512743
Caernarvonshire,VC,52.970404,-4.425954
Merionethshire,VC,52.78262,-3.946381
Cardiganshire,VC,52.287856,-4.227453
Pembrokeshire,VC,51.802337,-5.191642
Glamorganshire,VC,51.525765,-3.766767
Carmarthenshire,VC,51.866714,-4.20943
North Devon,VC,51.050065,-4.23073
East Cornwall,VC,50.476626,-4.65013
West Cornwall,VC,50.087575,-5.676195
South Devon,VC,50.476614,-3.588096
Dorset,VC,50.664945,-2.338924
Isle of Wight,VC,50.576067,-1.28074
South Hampshire,VC,50.846867,-1.410908
West Sussex,VC,50.836456,-0.534602
East Sussex,VC,50.840232,0.279193
East Kent,VC,51.190197,1.140096
South Essex,VC,51.612924,0.689531
North Essex,VC,51.871468,0.683874
West Kent,VC,51.313367,0.295557
Surrey,VC,51.2695,-0.373578
Middlesex,VC,51.548796,-0.273039
Hertfordshire,VC,51.829391,-0.218673
North Hampshire,VC,51.205206,-1.17245
South Wiltshire,VC,51.169979,-1.92279
North Somerset,VC,51.256437,-2.688319
South Somerset,VC,51.081107,-3.180766
Warwickshire,VC,52.333008,-1.58599
Herefordshire,VC,52.104172,-2.747236
Radnorshire,VC,52.270817,-3.310495
Breconshire,VC,51.976955,-3.454068
Monmouthshire,VC,51.686767,-2.946016
West Gloucestershire,VC,51.680197,-2.43509
North Wiltshire,VC,51.49798,-1.936878
Berkshire,VC,51.513961,-1.206343
Oxfordshire,VC,51.808155,-1.287024
East Gloucestershire,VC,51.880207,-1.946017
Worcestershire,VC,52.23904,-2.16356
Shropshire,VC,52.641894,-2.714807
Montgomeryshire,VC,52.612151,-3.433939
Caithness,VC,58.423965,-3.32894
Buckinghamshire,VC,51.827269,-0.790141
Bedfordshire,VC,52.079349,-0.448281
Outer Hebrides,VC,57.944853,-7.133959
Orkney,VC,59.102684000000004,-3.167855
Ayrshire,VC,55.413011,-4.655682
Clyde Isles,VC,55.546798,-5.194743
