Elsa name,NHM name,Taxon name
small skipper,Thymelicus sylvestris,Thymelicus sylvestris
purple hairstreak,Neozephyrus quercus,Favonius quercus
small blue,Cupido minimus,Cupido minimus
meadow brown,Maniola jurtina,Maniola jurtina
wall,Lasiommata megera,Lasiommata megera
comma,Polygonia c-album,Polygonia c-album
brimstone,Gonepteryx rhamni,Gonepteryx rhamni
grayling,Hipparchia semele,Hipparchia semele
dingy skipper,Erynnis tages,Erynnis tages
adonis blue,Lysandra bellargus,Polyommatus bellargus
holly blue,Celastrina argiolus,Celastrina argiolus
peacock,Inachis io,Aglais io
white admiral,Limenitis camilla,Limenitis camilla
dark green fritillary ,Argynnis aglaja,Speyeria aglaja
large white,Pieris brassicae,Pieris brassicae
grizzled skipper,Pyrgus malvae,Pyrgus malvae
common blue,Polyommatus icarus,Polyommatus icarus
small copper,Lycaena phlaeas,Lycaena phlaeas
small tortoiseshell,Aglais urticae,Aglais urticae
marbled white,Melanargia galathea,Melanargia galathea
large heath,Coenonympha tullia,Coenonympha tullia
wood white,Leptidea sinapis,Leptidea sinapis
silver spotted skipper,Hesperia comma,Hesperia comma
brown argus,Aricia agestis,Aricia agestis
gatekeeper,Pyronia tithonus,Pyronia tithonus
silver washed fritillary,Argynnis paphia,Argynnis paphia
speckled wood,Pararge aegeria,Pararge aegeria
swallowtail,Papilio machaon,Papilio machaon
orange tip,Anthocharis cardamines,Anthocharis cardamines
,Pieris napi,Pieris napi
,Lysandra coridon,Polyommatus coridon
,Thymelicus lineola,Thymelicus lineola
,Boloria selene,Boloria selene
,Melitaea cinxia,Melitaea cinxia
,Nymphalis polychloros,Nymphalis polychloros
,Erebia epiphron,Erebia epiphron
,Thymelicus acteon,Thymelicus acteon
,Hamearis lucina,Hamearis lucina
,Satyrium pruni,Satyrium pruni
,Pieris rapae,Pieris rapae
,Ochlodes venata,Ochlodes sylvanus
,Erynnis tages,Erynnis tages
,Erebia aethiops,Erebia aethiops
,Euphydryas aurinia,Euphydryas aurinia
,Melitaea athalia,Melitaea athalia
,Plebejus argus,Plebejus argus
,Boloria euphrosyne,Boloria euphrosyne
,Coenonympha pamphilus,Coenonympha pamphilus
,Callophrys rubi,Callophrys rubi
,Argynnis adippe,Fabriciana adippe
,Apatura iris,Apatura iris
,Thecla betulae,Thecla betulae
,Aphantopus hyperantus,Aphantopus hyperantus
,Carterocephalus palaemon,Carterocephalus palaemon
,Satyrium w-album,Satyrium w-album
,Aricia artaxerxes,Aricia artaxerxes
