variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,Sp,Sex
b_Intercept,18.709570080321228,18.71233705946804,16.38924429360957,16.706539654733355,-7.638368162449146,45.536553928749505,0.9998135656694629,4226.502496678283,3079.1323443716187,Satyrium w-album,female
b_Year,-0.0021405910627402577,-0.002085151686855026,0.005637907658702311,0.0056681566182382225,-0.011613159736411588,0.006920511342781064,1.0012112554186554,4428.764729540958,3449.5326763808994,Satyrium w-album,female
b_Temp,-0.0647393465961579,-0.06224153969859772,0.15408701936229402,0.1519666697373654,-0.3188791909917133,0.1903233503160311,1.0019756342014816,4471.25671409848,2780.635597762564,Satyrium w-album,female
b_Latitude,0.020869142808340027,0.020758883799033404,0.18034217488006685,0.18268095873098542,-0.2698715165355594,0.30839867612038413,1.0001147372684187,4325.701137215029,2799.883282543265,Satyrium w-album,female
sigma,1.032582751118906,1.0273234964811018,0.07575282544943292,0.07191533659733869,0.9153631186576934,1.16651062280172,1.0010374959325865,4346.7379301708415,2661.3213122609845,Satyrium w-album,female
Intercept,15.113090987559042,15.112306668164003,0.10428718812960429,0.10452556494779285,14.94045403591994,15.286489639001205,1.0004960040337578,4730.893323367444,2872.354969715566,Satyrium w-album,female
lprior,-3.2543049582375225,-3.2526629863554684,0.016326858975280974,0.015395226072982054,-3.2836070213089483,-3.230223203603557,1.0014787628673618,4156.401777671718,2832.439788094567,Satyrium w-album,female
lp__,-149.14226955195826,-148.78865829759144,1.651423747443248,1.4609839602196275,-152.35194339029488,-147.15162174219725,1.0026826558971556,1681.75909385097,2574.8913346610566,Satyrium w-album,female
b_Intercept,-8.481003783606907,-8.444129807115228,17.408204344382057,17.38469385430843,-37.389248869362916,20.577343487474415,1.000375923446269,4188.509096839976,3249.638346487269,Carterocephalus palaemon,male
b_Year,-6.369559244140356e-5,6.989792970682604e-6,0.0043250241885970705,0.004300427220987504,-0.007184918228145928,0.007040908788205731,1.0000739270989192,5524.804980991902,3415.1367018636147,Carterocephalus palaemon,male
b_Temp,-0.180260272727114,-0.18073420765284384,0.08987442374102843,0.08900078948316291,-0.32965774221300354,-0.03254969648442018,0.9997747958643803,3978.7610246004365,2832.385998559391,Carterocephalus palaemon,male
b_Latitude,0.44578757384039674,0.443756777145337,0.26284837873466577,0.27109631129445294,0.010435991165624733,0.8719661659808277,1.00003361510028,4052.7975697659476,3164.066323452275,Carterocephalus palaemon,male
sigma,0.7386289253696497,0.7343339898723142,0.05348375255472988,0.05154714987880501,0.658948914137062,0.832146509274328,1.0003551174411018,3996.160972398082,2969.5795658067655,Carterocephalus palaemon,male
Intercept,12.066786454361248,12.066529600695427,0.07140463967932754,0.07141751970151049,11.949493218415435,12.181792408290754,1.0017883185068004,4439.294715894613,3020.1528774786484,Carterocephalus palaemon,male
