variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,Sp
b_Intercept,3.54017633901253,3.535498476019515,1.286767695048013,1.2823990380560426,1.456944221769017,5.64393984950639,1.0000051985972047,5066.870885078083,3134.571607775675,Pyronia tithonus
b_YearRescale,0.05684535179780307,0.05683207943255153,0.03563131588979842,0.03553657753593966,-5.272190367582961e-4,0.11564680836657633,1.0006378877564286,3979.4596529678306,3188.4668864750442,Pyronia tithonus
b_Temp,-5.448636443813506e-4,-4.931069959401707e-4,0.011605267154424904,0.0115030725193693,-0.02002336205008441,0.01841167639598454,1.0016837669272773,4220.030204697412,2905.5943796732727,Pyronia tithonus
b_Latitude,-0.012487747754121203,-0.012359848630698087,0.025624520509368975,0.02573028439668801,-0.05428612850182381,0.02931684320037073,0.9999061917665568,5023.6143724479825,3114.996562108111,Pyronia tithonus
b_Sexmale,-0.08156631662005366,-0.08108014334131017,0.021661542851147207,0.021592320223113925,-0.11708800608961428,-0.04624337495732589,1.001928090137246,4839.365801389123,2898.238845586836,Pyronia tithonus
sigma,0.1181230714911271,0.11771629930073313,0.007445575591723832,0.007471348621935993,0.10668002275087868,0.13108160271753622,1.001225750621569,4907.632167596846,3426.1225195630304,Pyronia tithonus
Intercept,2.918097120209101,2.9180697407258167,0.010424032295989679,0.010589195783169452,2.9009813754515257,2.934949152031942,1.0014396089188529,5571.39148637906,3265.382983585001,Pyronia tithonus
lprior,-3.1511759002019444,-3.1511617519980737,6.508895290480351e-4,6.595689080277466e-4,-3.1522852264742798,-3.1501424667254416,0.9999452920332463,5616.634220371703,2756.446842498127,Pyronia tithonus
lp__,85.12932384229606,85.46427059287717,1.734282923740803,1.5777893554253368,81.79760245145455,87.348374126532,1.0014059902968102,2068.9977531011023,3028.9971632870447,Pyronia tithonus
b_Intercept,2.3224909434517294,2.32888812348359,0.5002803623962522,0.5127850580415775,1.4910111497832572,3.147458086563039,0.9994782660851873,5082.284393222378,2964.056568264142,Pyrgus malvae
b_YearRescale,0.010182167066134831,0.010316821630016435,0.013187642394467087,0.01299225767012533,-0.011699605512756478,0.03193155790676906,0.9999982570398327,4223.468753392992,2490.444817799471,Pyrgus malvae
b_Temp,-0.0011843011401565416,-0.0012235773691768015,0.005321768233425248,0.005386173969270896,-0.009991024680942939,0.00763967678364796,0.9998759949950735,5087.36058643355,3186.801768148549,Pyrgus malvae
b_Latitude,0.001957329576725819,0.0018409703799163045,0.00978289786140624,0.009968276964625941,-0.013858391397517277,0.0181151154463344,0.9996787327477036,4979.783542072154,3084.2441431203188,Pyrgus malvae
sigma,0.04653769850966733,0.0463311542276495,0.003336388441637152,0.003348500873696878,0.04142152073420625,0.052345030604431686,1.0012245828766675,4428.079677919679,3053.0832621477593,Pyrgus malvae
Intercept,2.4188611706269025,2.4189431739981715,0.004412058308971035,0.004402913838096323,2.4115330755463273,2.4259795204445886,1.0003231907240109,5415.823492900318,3007.6758525382797,Pyrgus malvae
lprior,-3.141484191259428,-3.141480807283193,3.842564711990821e-5,3.6658110605500304e-5,-3.141552451902439,-3.141427443827258,1.001831006637845,4504.5613099474585,2752.129881776782,Pyrgus malvae
lp__,172.56334504466994,172.87659065124342,1.5983341147150985,1.4398490667311574,169.494557072945,174.5796316168795,1.001544714618347,2062.513832837308,2068.0801991311364,Pyrgus malvae
b_Intercept,1.6977728812915591,1.7053833553816284,0.9301979402470701,0.8922065649653835,0.1622232713730898,3.2242006777271195,1.001800680460607,5171.135954933803,2770.0718213230675,Hesperia comma
