variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,Sp,Sex
b_Intercept,19.543319502442376,19.481961729901396,15.966060249956607,15.678458505037023,-6.259888323679698,45.863677786303214,1.0005101153179352,4453.842897306872,2810.9083502392336,Satyrium w-album,female
b_Year,-0.0024133268700884548,-0.002429764396096202,0.005463078794461095,0.005522516775974904,-0.011317319800588022,0.00666494145716705,1.000266007024429,4783.015806236456,3484.6096569502633,Satyrium w-album,female
b_Temp,-0.060012125257299,-0.06123053520785836,0.1583286123416456,0.15684819773929531,-0.3222076546080664,0.20224862112440964,1.0006379080245729,5223.225434091569,2712.3094759732016,Satyrium w-album,female
b_Latitude,0.01419440173816062,0.014285876359372375,0.17277064924014257,0.16942363927422843,-0.2772660091417543,0.2944618138471424,1.003009725439309,4627.810517658156,2912.891377897991,Satyrium w-album,female
sigma,1.031375156638636,1.0263362786423678,0.07512322154276647,0.07396110063897421,0.9147467944522861,1.1610065720086893,1.0011350046931684,4406.791511368728,2439.492397513511,Satyrium w-album,female
Intercept,15.11432440431408,15.114651202560136,0.10131240566157097,0.1007514382216943,14.952064066334959,15.280367381536218,1.0006465738875674,4687.458292772524,2690.512690142287,Satyrium w-album,female
lprior,-3.2539572375817767,-3.252191729778354,0.016125050490260678,0.015506948264163828,-3.2822853341923817,-3.230241339558323,1.001023215142753,4241.942730760863,2393.347610202068,Satyrium w-album,female
lp__,-149.04468232134923,-148.72243771946842,1.5765413009117875,1.4242573076633875,-152.19191777183775,-147.13510406420448,1.005861199945939,1874.7088442941244,2692.980392982175,Satyrium w-album,female
b_Intercept,33.13199474033123,33.28354828883788,23.156036375538594,23.17338806748844,-4.92411793879396,71.79201964291934,1.0015808397179635,4328.537249755456,2591.209241689705,Pieris brassicae,male
b_Year,-0.0020694084261656713,-0.0019462097077626477,0.00594242464490799,0.005786635904069051,-0.012014313134364778,0.007599690590317516,1.0012475683055597,4741.727644558921,3329.328477614108,Pieris brassicae,male
b_Temp,0.08271035591775726,0.08313472714050632,0.04014857314785525,0.04004656315405286,0.016314089413776215,0.14855640628358008,1.0028951735846106,5170.9206846546,2900.884092324926,Pieris brassicae,male
b_Latitude,-0.017909286495659954,-0.022776887668361737,0.30892899629364784,0.3106099006019492,-0.5204061212711604,0.49264611163658073,1.0017267285535862,4553.439103000213,3060.6866615266863,Pieris brassicae,male
sigma,2.2353042876351377,2.2307285228126927,0.09548918159742938,0.09507693850767228,2.0866341010618643,2.3988365314424778,0.9998103631285944,4858.34602273304,3174.1214075674698,Pieris brassicae,male
Intercept,29.279705163889634,29.278219542641516,0.13231684585162615,0.1307035906598713,29.058360618343553,29.498403811950126,0.9998906963413156,5078.373168341387,3088.196459372658,Pieris brassicae,male
lprior,-8.511307978533534,-8.509299479676997,0.049857103489668694,0.049245230237454855,-8.597297195399289,-8.43285014997268,1.0007821504460286,5299.420583394148,3062.4789541334044,Pieris brassicae,male
lp__,-625.1655543646951,-624.8388435491242,1.5590039018522783,1.3927297719081508,-628.1870948462738,-623.2509132273847,1.0009428101800752,2025.699513865501,2993.0514689277857,Pieris brassicae,male
b_Intercept,1.9113947987695383,1.865782226752903,8.161485288499396,8.153355692192937,-11.451485852392354,15.453416493749009,1.000582699261454,5060.744170575264,3064.721893405112,Lycaena phlaeas,male
b_Year,0.003418786289569822,0.0033999518009108056,0.0032364201427279747,0.0032460111544624997,-0.0019262623228286794,0.00880574091433857,1.001550401314025,5945.921559060695,3463.7838479417132,Lycaena phlaeas,male
b_Temp,-0.009892691561781278,-0.010181258530191042,0.01893928223923621,0.018860469842575202,-0.04068662415292746,0.020653941811959876,1.0000259155414404,4706.132921618475,3189.4410495807574,Lycaena phlaeas,male
b_Latitude,0.09261165233555177,0.09396211309631594,0.09585807948948662,0.0962122685842903,-0.06977025810446108,0.25045072182284095,1.0011726631178908,4463.6322237319855,2892.5193944089415,Lycaena phlaeas,male
sigma,1.273310949456475,1.2719691261179733,0.042213481023042496,0.041740325028610026,1.2047057514454083,1.3433086797143403,1.0016421164469733,4571.956337754886,3068.32576186716,Lycaena phlaeas,male
Intercept,13.148494511009792,13.148275462866462,0.05939799359138665,0.057965347484461555,13.052079108328599,13.246465171494627,1.0006003425902665,4951.246680345534,3134.385745806589,Lycaena phlaeas,male
lprior,-3.7124263971522273,-3.7118929168479613,0.023696221078022977,0.023192859241036385,-3.752626162836556,-3.6750602291905827,1.0011108062758172,4566.063039312557,2872.0430078237573,Lycaena phlaeas,male
lp__,-753.519700750738,-753.1915031073802,1.602186332574753,1.3931019277918417,-756.5257090430686,-751.5776959850411,1.0011538194188205,2105.789529502457,2558.8232558201435,Lycaena phlaeas,male
b_Intercept,3.6867190520022928,3.1016568245050973,31.255325442367603,29.953213157896577,-47.71168413605726,56.447048139005936,1.0014810609466012,5422.380013869877,3093.2010810173642,Carterocephalus palaemon,male
