variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,Sp,Sex
b_Intercept,9.975118956761381,9.938928943266571,5.597502499990456,5.684905919838589,0.978909669760572,19.2312598928683,1.001408094008838,3500.0083621327717,2987.7384153248254,Pyrgus malvae,undetermined
b_Year,0.001955292431507308,0.001955587342550985,0.0013097950807532837,0.00131754373401572,-2.206769636263526e-4,0.004069226263171143,1.0013548471057236,4687.852165314362,2492.1369075799926,Pyrgus malvae,undetermined
b_Temp,-0.24589224803287124,-0.24729891821205616,0.058205957024272025,0.056025600577359794,-0.3394297234464438,-0.15012204360809756,1.000258170661246,3195.8428412378057,2896.6514780329744,Pyrgus malvae,undetermined
b_Latitude,-0.008476064843418485,-0.00760889971968017,0.09961148380785112,0.09669108684775271,-0.17492194613379003,0.14738938071393015,1.0018458429405834,3263.681767527802,2695.891067943131,Pyrgus malvae,undetermined
sigma,0.4804843814661952,0.47807025762777533,0.033254761373495825,0.03311295453930546,0.42981653980461715,0.5367223854277525,1.0001485205660654,3007.3971752472953,2634.8423053761417,Pyrgus malvae,undetermined
Intercept,11.243387364336455,11.243435673381065,0.04648090296668113,0.04561509440267071,11.16630499058811,11.319401530022054,1.0041908074370256,3565.302551387015,2779.700184103542,Pyrgus malvae,undetermined
lprior,-3.1662318749276386,-3.1658698375193515,0.0034941448825875844,0.0033802528481905987,-3.172295639712314,-3.1611907923350024,1.0002260604013984,2893.1665996489037,2355.3840817803243,Pyrgus malvae,undetermined
lp__,-77.2192812879574,-76.89089306525258,1.6321452347838463,1.4428825917506,-80.31927104239409,-75.25792790039254,1.0018168584335583,1626.8515752206213,2726.793871775981,Pyrgus malvae,undetermined
b_Intercept,17.308920950158004,17.291027445934272,7.520909565444295,7.4010710742126085,5.074429969968028,30.07891199110076,1.0003184658032718,3913.2187711886345,3211.236002175514,Coenonympha tullia,undetermined
b_Year,0.006806849567244753,0.006879485032311484,0.00339386891074145,0.0033336518812214664,0.0010450451606988872,0.012325636361248747,1.0014981640092937,4292.052044655803,2912.4559560378166,Coenonympha tullia,undetermined
b_Temp,-0.23823178134241949,-0.24032342289888864,0.11624917525093198,0.11825511545067133,-0.42430814628922714,-0.04386687454711032,1.0003869247794313,2031.7887461420212,2554.1929918028145,Coenonympha tullia,undetermined
b_Latitude,-0.18668223479686852,-0.18816769145728113,0.09477565648092347,0.09478480401686859,-0.3429488421373409,-0.029022840356744014,0.9998117836661813,2016.0912320339492,2543.196986315664,Coenonympha tullia,undetermined
sigma,0.7615111945310362,0.7582761829481977,0.05644714682632481,0.055008299022605005,0.6760369939890692,0.8582555302167871,1.0008568825571882,2678.3121325102493,2525.343478483326,Coenonympha tullia,undetermined
Intercept,18.669620010402475,18.67071903521295,0.0796636200640214,0.07916741137224255,18.53745431464649,18.79666242719658,1.0019972470403953,3312.474639454184,2681.5620130574816,Coenonympha tullia,undetermined
lprior,-5.962779546326384,-5.9628186198728255,0.032885270215855904,0.032507611304355394,-6.0169357504196475,-5.909576247372718,1.001263470015427,3358.8572849715642,2645.5293962183473,Coenonympha tullia,undetermined
lp__,-116.64897286373319,-116.32910460320004,1.6337723830331095,1.4614005746906282,-119.69408748801425,-114.62971000409266,1.0009625377875955,1772.677652056031,1911.1451485107486,Coenonympha tullia,undetermined
b_Intercept,25.490094239110338,25.974441096744613,23.096582584096275,22.940849996733306,-12.62293513677273,63.45732907209661,1.003161341453129,4415.211392147469,2946.017130817264,Limenitis camilla,undetermined
b_Year,0.014332144615983538,0.01435626411342917,0.004914170855531458,0.0049774629313172215,0.006273055470290229,0.02251121994136145,1.000606058636705,5949.7761471739495,3661.4943842671573,Limenitis camilla,undetermined
b_Temp,0.05032640867143412,0.049162217534936,0.2360478733957914,0.23048619213571592,-0.3399178695074516,0.4433532193441717,1.001454415355244,4507.705397371384,2964.5111653724825,Limenitis camilla,undetermined
b_Latitude,-0.4966306600308574,-0.4933796879168404,0.4483566360665933,0.44129949027320753,-1.2459795900346882,0.24546281119706276,1.0026692910839339,4097.347007709039,2558.735988682377,Limenitis camilla,undetermined
