variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,Sp
b_Intercept,2.4690552330112956,2.471248409323838,0.2513641433644821,0.2483110893633591,2.054679349938284,2.8885636233171494,1.0002832304601474,4880.59940182087,3193.6964503492177,Euphydryas aurinia
b_YearRescale,-0.003585302200359048,-0.0035270716533767933,0.010855452847346804,0.010683503350211869,-0.021473154131048708,0.014516351195327674,1.000763802902421,4002.1142236162996,2527.9317071519513,Euphydryas aurinia
b_Wilson_LateTemp,0.006250892809503576,0.006248679148401879,0.0021412872276336103,0.00215932327419884,0.0027622529032713637,0.009755122467130301,1.0005523250608435,5283.813761677812,3450.7998350885596,Euphydryas aurinia
b_Latitude,0.009501644563285611,0.009490709041486137,0.00493387782883137,0.004923737852825482,0.001356556221434358,0.01759041025831473,1.0001347825712823,4884.558576144885,3081.2525439052765,Euphydryas aurinia
b_Sexmale,-0.09032351274350726,-0.0904051334236177,0.006533315679531889,0.006557715336695473,-0.10102664420370018,-0.07943169569461399,1.0004535793608458,4300.1257854818305,3100.704147287889,Euphydryas aurinia
sigma,0.08535353047869566,0.08533973051470697,0.0016096239475390994,0.001653999493086264,0.08276255280663372,0.08797529804349065,1.0001884478589051,3759.1374632815096,2699.505035223703,Euphydryas aurinia
Intercept,2.944065031820152,2.9440870880655874,0.002234926822427762,0.0022183710746187593,2.940319639883291,2.94779193834119,1.0025325824599323,5962.815393834269,3275.579262792997,Euphydryas aurinia
lprior,-3.1483335463475566,-3.148330303318045,1.1924844743320814e-4,1.2002429237396223e-4,-3.1485309914451203,-3.1481386023671547,1.0013205318284348,5575.9241486424435,2892.3608241223415,Euphydryas aurinia
lp__,1446.198327063723,1446.5537841093928,1.7713485369923387,1.58222998753131,1442.8694837622832,1448.385485579566,1.0007853448480082,1741.6279599874267,2667.839974957914,Euphydryas aurinia
b_Intercept,3.040507332325938,3.0430667828057953,0.20973633129914798,0.2116920636725543,2.698430770460642,3.385271109613484,1.0004723182051736,4983.967110495311,3297.8241876712623,Anthocharis cardamines
b_YearRescale,-0.003306304809527788,-0.003307993955735057,0.010354647947857816,0.010098951077299655,-0.02047914064650848,0.013679995382901974,1.0012281580732805,4336.410762788645,2437.939167986723,Anthocharis cardamines
b_Wilson_LateTemp,-0.0018984079664409125,-0.0019242457453402064,0.001747687775624866,0.0017676969725705,-0.00477317323893224,9.653796476328569e-4,1.0013993035781164,5518.610171828715,3416.3080015099526,Anthocharis cardamines
b_Latitude,-3.227111001123538e-4,-3.469351293169822e-4,0.0040465620216807215,0.004124524402709122,-0.007000113495720855,0.00638974182859814,1.000625573713755,4992.005467265839,3299.5696929083806,Anthocharis cardamines
b_Sexmale,-0.05007046672657445,-0.05003480822526496,0.00484561721917094,0.004835682521640719,-0.05807721207099016,-0.04227998015503749,1.0002908985893577,5248.084466769494,2958.4072491380116,Anthocharis cardamines
